frame,camera,marker,x,y,likelihood
0,0,l_back_ankle,4.030882835388184,812.1885375976562,0.05870240926742554
0,0,l_back_knee,3.582974910736084,820.078857421875,0.1212485134601593
0,0,l_back_paw,12.096981048583984,836.2206420898438,0.2095479667186737
0,0,l_eye,92.07369995117188,772.1431884765625,0.024166792631149292
0,0,l_front_ankle,52.66748046875,835.84619140625,0.1187187135219574
0,0,l_front_knee,4.02028226852417,827.8707885742188,0.033849865198135376
0,0,l_front_paw,76.239501953125,820.3643188476562,0.48265883326530457
0,0,l_hip,3.977449417114258,796.169921875,0.013661861419677734
0,0,l_shoulder,4.0494303703308105,796.0388793945312,0.015845298767089844
0,0,lure,52.07439422607422,1036.2103271484375,0.5226800441741943
0,0,neck_base,67.90094757080078,772.0521240234375,0.5207974314689636
0,0,nose,76.03243255615234,780.0321655273438,0.12007924914360046
0,0,r_back_ankle,44.15744400024414,836.0858154296875,0.35256853699684143
0,0,r_back_knee,19.4777889251709,819.9921264648438,0.7961217164993286
0,0,r_back_paw,52.038490295410156,827.9171142578125,0.16229340434074402
0,0,r_eye,91.93732452392578,788.2505493164062,0.13479724526405334
0,0,r_front_ankle,68.14208221435547,819.6220092773438,0.9362090826034546
0,0,r_front_knee,51.761253356933594,804.17529296875,0.851136326789856
0,0,r_front_paw,76.341552734375,819.7383422851562,0.9737727642059326
0,0,r_hip,12.065025329589844,787.792724609375,0.896944522857666
0,0,r_shoulder,59.9100227355957,787.9591064453125,0.846605658531189
0,0,spine,44.01994705200195,771.835693359375,0.9780539274215698
0,0,tail1,3.8899738788604736,803.9046020507812,0.09903544187545776
0,0,tail2,1268.008544921875,1412.0013427734375,0.38648250699043274
0,0,tail_base,11.702713012695312,780.0162963867188,0.4300776720046997
1,0,l_back_ankle,92.23665618896484,803.7476806640625,0.3263845443725586
1,0,l_back_knee,3.8620247840881348,819.808837890625,0.06731966137886047
1,0,l_back_paw,12.278432846069336,836.0768432617188,0.13812613487243652
1,0,l_eye,91.92688751220703,772.1719970703125,0.017924070358276367
1,0,l_front_ankle,67.82743072509766,819.5447998046875,0.7683041095733643
1,0,l_front_knee,60.15968704223633,812.1719970703125,0.1333007514476776
1,0,l_front_paw,67.74546813964844,827.7470092773438,0.7056971788406372
1,0,l_hip,67.93450927734375,779.681640625,0.02691599726676941
1,0,l_shoulder,4.076074600219727,796.0523681640625,0.012520968914031982
1,0,lure,84.14542388916016,1036.1229248046875,0.49792006611824036
1,0,neck_base,68.17938995361328,763.9300537109375,0.706861138343811
1,0,nose,91.97492980957031,772.124755859375,0.19764822721481323
1,0,r_back_ankle,19.685171127319336,812.0888061523438,0.1728501319885254
1,0,r_back_knee,12.042533874511719,819.9418334960938,0.9473034143447876
1,0,r_back_paw,12.195627212524414,828.0617065429688,0.29496634006500244
1,0,r_eye,91.9695053100586,771.9619140625,0.3451944887638092
1,0,r_front_ankle,92.1502456665039,804.3323364257812,0.9711120128631592
1,0,r_front_knee,59.813720703125,803.9600219726562,0.7960063219070435
1,0,r_front_paw,92.52891540527344,819.8718872070312,0.9632411599159241
1,0,r_hip,11.872631072998047,787.6235961914062,0.5353420376777649
